,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf,hp
207,38.0,44.0,5,0,0,0,0,0,0,9,4,185.80417055202997
208,37.0,44.0,5,0,0,0,0,0,0,10,4,198.42213240321144
209,36.0,44.0,5,0,0,0,0,0,0,11,4,211.18396584241418
210,35.0,44.0,5,0,0,0,0,0,0,12,4,224.08967087080237
211,34.0,44.0,5,0,0,0,0,0,0,13,4,237.13924748718273
212,33.0,44.0,5,0,0,0,0,0,0,14,4,250.33269569219556
213,32.0,44.0,5,0,0,0,0,0,0,15,4,263.67001548508415
214,31.0,44.0,5,0,0,0,0,0,0,16,4,277.15120686695445
215,40.0,44.0,5,0,0,0,0,0,0,6,5,158.790020135566
216,39.0,44.0,5,0,0,0,0,0,0,7,5,171.608956108219
217,38.0,44.0,5,0,0,0,0,0,0,8,5,184.57176366940257
218,37.0,44.0,5,0,0,0,0,0,0,9,5,197.67844281892758
219,36.0,44.0,5,0,0,0,0,0,0,10,5,210.92899355705595
220,35.0,44.0,5,0,0,0,0,0,0,11,5,224.32341588335112
221,34.0,44.0,5,0,0,0,0,0,0,12,5,237.86170979819144
222,33.0,44.0,5,0,0,0,0,0,0,13,5,251.54387530119857
223,32.0,44.0,5,0,0,0,0,0,0,14,5,265.36991239368217
224,31.0,44.0,5,0,0,0,0,0,0,15,5,279.3398210735759
225,40.0,44.0,5,0,0,0,0,0,0,5,6,156.45178218584624
226,39.0,44.0,5,0,0,0,0,0,0,6,6,169.75943545687187
227,38.0,44.0,5,0,0,0,0,0,0,7,6,183.2109603167046
228,37.0,44.0,5,0,0,0,0,0,0,8,6,196.80635676448583
229,36.0,44.0,5,0,0,0,0,0,0,9,6,210.545624800754
230,35.0,44.0,5,0,0,0,0,0,0,10,6,224.42876442568377
231,34.0,44.0,5,0,0,0,0,0,0,11,6,238.45577563872212
232,33.0,44.0,5,0,0,0,0,0,0,12,6,252.62665844062576
233,32.0,44.0,5,0,0,0,0,0,0,13,6,266.94141283089994
234,31.0,44.0,5,0,0,0,0,0,0,14,6,281.40003880899167
235,40.0,44.0,5,0,0,0,0,0,0,4,7,153.98514776595403
236,39.0,44.0,5,0,0,0,0,0,0,5,7,167.78151833564334
237,38.0,44.0,5,0,0,0,0,0,0,6,7,181.72176049355767
