,Ti,Ni,Cu,Hf,Zr,hp1,hp2,hpVary
319,43.0,44.0,7,0,6,81.63837077754579,-83.68288149207365,165.32125226961944
320,42.0,51.0,0,7,0,85.14917477015842,-80.34787475169287,165.4970495218513
321,43.0,47.0,4,1,5,-78.83217489788512,86.84674505556177,165.6789199534469
322,42.0,43.0,8,4,3,-95.0011736897286,70.8610560404777,165.8622297302063
323,43.0,50.0,1,2,4,92.14325315293536,-73.89333448412071,166.03658763705607
324,42.0,46.0,5,5,2,-89.57403472611622,76.64586268772109,166.21989741383732
325,41.0,42.0,9,8,0,61.65808153265971,-104.74512565790792,166.40320719056763
326,42.0,49.0,2,6,1,82.51880315453309,-84.0587619430662,166.5775650975993
327,43.0,45.0,6,0,6,84.47545369833097,-82.28398183082754,166.7594355291585
328,42.0,41.0,10,3,4,68.06257986694982,-98.88016543883714,166.94274530578696
329,43.0,48.0,3,1,5,-77.31074110807822,89.80636210477678,167.117103212855
330,42.0,44.0,7,4,3,73.88178682331636,-93.4186261662253,167.30041298954166
331,43.0,51.0,0,2,4,95.22540433082759,-72.24936656571663,167.47477089654421
332,42.0,47.0,4,5,2,79.78912759922241,-87.8689530740885,167.6580806733109
333,41.0,43.0,8,8,0,64.86246017774101,-102.9789302722711,167.8413904500121
334,42.0,50.0,1,6,1,85.78460219455155,-82.23114616243402,168.01574835698557
335,43.0,46.0,5,0,6,87.3701671169838,-80.8274516716192,168.197618788603
336,42.0,42.0,9,3,4,71.01840701926994,-97.3625215460197,168.38092856528965
